author,title,text,tags,isbn,isbn13
N.K. Jemisin,The Inheritance Trilogy,"N.K. Jemisin's epic fantasy series has just been reissued in a handy omnibus edition — so there's no better time to visit the fractured, fractious Hundred Thousand Kingdoms, where the ruthless Arameri family rules from its glowing white sky palace, built by enslaved gods. So many fantasy writers fall into the one-planet-one-culture trap, but not Jemisin, who creates a fabulously diverse array of peoples and lands, shot through with magic, loss, sex and heartbreak. Best of all, this omnibus includes a brand-new novella, <em>The Awakened Kingdom,</em> set in the same world as the previous three books.","[npr-staff-picks, family-matters, rather-long, science-fiction-and-fantasy, seriously-great-writing]",9780316334006,9780316334006
Colson Whitehead,"The Noble Hustle: Poker, Beef Jerky, And Death","You do not have to know anything about poker or even care about it to immerse yourself in Colson Whitehead's memoir, <em>The Noble Hustle.</em> In 2011, Grantland gave him the assignment to compete in the World Series of Poker in Las Vegas, and write about it. Whitehead was a casual player, and he writes in depth about his preparation for the game and his progress, but the true delight of this book is his cool hilarity. It's not really a spoiler to say that Whitehead doesn't get rich — but neither is this a book about learning life through poker. It's more like being inside a particularly interesting brain experiencing a specific and odd thing. I'd read a book by Whitehead about car repair — his turn of phrase is so delicious that you'll have to restrain yourself from interrupting whoever's nearby to read them great line after great line.","[npr-staff-picks, biography-and-memoir, eye-opening-reads, funny-stuff, its-all-geek-to-me, science-and-society, seriously-great-writing]",0385537050,9780385537056
Gary Shteyngart,Little Failure: A Memoir,"Gary Shteyngart is a memoirist not out for revenge but for truth, and his quest takes him to various interesting places in this lively and forthcoming book. An only child who immigrated to Queens from Leningrad with his parents in 1979, he not only gives the reader an intimate look at his own self but also puts his parents under the very strong memoirist's magnifying lens. The results can be uncomfortable, to say the least, but are always compelling. This is a mature book in all the important ways: evenhanded toward the parents who raised him, and not trying to score points or twist the knife but just trying to understand.","[biography-and-memoir, book-club-ideas, family-matters, funny-stuff, seriously-great-writing]",0679643753,9780679643753
Yotam Ottolenghi,Plenty More: Vibrant Vegetable Cooking From London's Ottolenghi,"The great chef Yotam Ottolenghi, who had such a phenomenal success with the vegetarian cookbook <em>Plenty</em> (as well as the nonvegetarian <em>Jerusalem</em>), now brings us <em>Plenty More,</em> which once again is all vegetables, all the time. With recipes for dishes like Squash With Labneh And Pickled Walnut Salsa, and Green Beans With Freekeh And Tahini, you may find yourself incidentally getting a crash course in ingredients you never heard of, and then spending a lot of time running around trying to find them. But the end results are worth it, and as an added inducement to read this book, the photographs will put you in a hungry stupor.","[cookbooks-and-food, tales-from-around-the-world]",1607746212,9781607746218
Atul Gawande,Being Mortal: Medicine And What Matters In The End,"Anyone who's had to care for an aging parent knows the difficulty of deciding when it's time to consider a nursing home or hospice. In <em>Being Mortal,</em>the ever thoughtful surgeon and author Atul Gawande asks us to think about what it really means to age gracefully and die with dignity when modern medicine can do so much to extend life. And challenges us to examine the real costs of prolonged medical treatment when the evidence is mounting that we are not necessarily improving life at the end.","[npr-staff-picks, book-club-ideas, eye-opening-reads, family-matters, science-and-society]",0805095152,9780805095159
Arree Chung,Ninja!,"Armed with his sticky ninja (dishwashing) gloves, unbreakable ninja (jump) rope and bouncy ninja (pingpong) paddle, Ninja Maxwell is ready and able to tackle all obstacles in his path and accomplish his ninja goal (getting milk and cookies). Arree Chung's dynamic layouts — evidence of his background in video game design — make the action in this book feel positively cinematic, while the contrast he creates between Maxwell's ninja narration and the reality of his mundane surroundings leaves each page dense with visual jokes that both adults and kids will adore. But beware! This is one you'll have to read over and over — and the Ninja Way might be contagious. (For ages 4 to 7)","[family-matters, funny-stuff, kids-books]",0805099115,9780805099119
Okey Ndibe,"Foreign Gods, Inc.","Ike embarks on an ill-fated journey from New York, where he barely makes a living driving a taxi, to his village in Nigeria. There he tries to steal the clan's ancestral god, planning to smuggle the statue to a New York dealer for a high price. With deft plotting and sharp characters, this is an exploration of identity and belonging; desire and thwarted ambition. Ike's homecoming is a disaster and he is a man in whom there is little to admire, but Okey Ndibe imbues him with humanity and pathos that has the reader rooting for him to the bitter, unhappy end.","[book-club-ideas, realistic-fiction, tales-from-around-the-world]",1616954582,9781616954581
Caitlin Moran,How To Build A Girl: A Novel,"Halfway through <em>How To Build A Girl</em> I put the book down, sighed, and wondered if I should just barrel through and finish it in one night, or savor it for another day. There's something about Caitlin Moran's mixture of noisy fun and social commentary that's a very happy place for a reader to hang out. The book follows the misadventures of Johanna Morrigan — an awkward, hilarious teen who decides that the path to reinvention will entail becoming a hard-drinking, oft-sexed rock critic. Her adventures are hilarious, and oddly relatable even when they're sitcom-zany. If anyone knows how to build a girl, it's Moran — she's put adolescence on the page in a book that's humming with authenticity. You'll wish you were besties.","[npr-staff-picks, book-club-ideas, family-matters, for-music-lovers, funny-stuff, lets-talk-about-sex, realistic-fiction]",0062335979,9780062335975
Rohini Mohan,The Seasons Of Trouble: Life Amid The Ruins Of Sri Lanka's Civil War,"In 2009, the Sri Lankan government finally declared an end to the island nation's brutal, decades-long civil war. <em>The Seasons of Trouble</em> is a gripping and profoundly moving account of that war's aftermath. It's the story of two Tamil families displaced and upended by the violent ethnic conflict between the majority Sinhalese and minority Tamils. First-time author Rohini Mohan has produced an astonishing feat of reportage here, one that is richly detailed and gracefully written. Prior to reading, I knew next to nothing about this lush, remote corner of the world. Now I find myself breathlessly tracking the progress of an U.N. war crimes investigation into the events of that dark period.","[npr-staff-picks, book-club-ideas, eye-opening-reads, family-matters, science-and-society, tales-from-around-the-world]",1781686009,9781781686003
Ali Smith,How To Be Both: A Novel,"There are two published editions of this odd, bifurcated novel. Depending on which copy you end up with, you'll either start with the story of the artist Francesco del Cossa, a Renaissance Italian fresco painter, or that of George, short for Georgia, a ‘60s teenager who recently lost her mother. Either way you will have the delightful experience of reading something truly innovative. The stories illuminate each other differently based on the order in which you encounter them. And the writing isn't outpaced by the inventiveness of the structure — it's vivid and tender and funny. And what a feat! — a book so tightly constructed that it contains not just two narratives that themselves explore duality, but two wholly different encounters with the book itself.","[npr-staff-picks, book-club-ideas, for-art-lovers, historical-fiction, realistic-fiction, seriously-great-writing]",0375424105,9780375424106
Sherry Thomas,My Beautiful Enemy,"Chinese heroine Catherine Blade and English hero Leighton Atwood, two star-crossed lovers who originally met in disguise and were torn apart by differing political loyalties, run into each other years later in London. She is chasing a powerful enemy, and he is engaged to be married — but once again they find their personal and political goals muddled and their mutual attraction irresistible. Romance star Thomas effortlessly blends historical romance essentials with breathtaking elements of mystical martial arts heroism and sets the dual timelines — 1883 and 1891 — in imperial China and Victorian London. A unique, fascinating, culturally textured romance.","[historical-fiction, lets-talk-about-sex, love-stories, tales-from-around-the-world]",0425268896,9780425268896
Emily Carroll,Through The Woods,"Emily Carroll's collection of original fairy tales and dark fiction is as beautiful as it is terrifying. Masterfully illustrated, the stories are told as much by the art as by the words, and it's impossible to untangle the one from the other. Every story has some connection to the woods and the strange things that come from or go to them. Dressed in dazzling colors, these stories will trouble your sleeping and waking hours long after you've finished the last page.","[comics-and-graphic-novels, for-art-lovers, poetry, rather-short, the-dark-side]",1442465956,9781442465954
Yumi Sakugawa,Your Illustrated Guide To Becoming One With The Universe,"I've never considered myself to be anywhere near to becoming <em>one with the universe,</em> but Yumi Sakugawa has me convinced that there's hope. Her drawings are, in general, sparse yet evocative of <em>feelings</em> — and <em>Your Illustrated Guide To Becoming One With The Universe </em> is no different. (You will certainly feel all the feels.) It's instructional, it's kind and it's a wonderful book in which to bury your head. ""Connect your heart to an antenna that picks up invisible frequencies from the universe,"" Sakugawa writes. ""What are some secret messages you have been missing this entire time?""","[npr-staff-picks, comics-and-graphic-novels, eye-opening-reads, science-and-society]",1440582637,9781440582639
Jan Swafford,Beethoven: Anguish And Triumph,"A precocious kid leaves his alcoholic father to find fame in the big city. He succeeds. But as his star rises his body falls, leaving him weak, deaf and suicidal. And still he triumphs. No, it's not an A&E miniseries; it's Jan Swafford's extraordinary story of Ludwig van Beethoven. The biography, <em>Beethoven: Anguish and Triumph,</em> is a clear-eyed view of the famed composer's improbable life, the social and political context that framed it, and, of course, his amazing music. In the end, the book transcends the dark-skinned kid from Bonn, Germany, and sings of the resilient human spirit.","[npr-staff-picks, biography-and-memoir, for-history-lovers, for-music-lovers, rather-long, tales-from-around-the-world]",061805474X,9780618054749
Helen Oyeyemi,"Boy, Snow, Bird: A Novel","Fairy tales get reworked and re-imagined all the time, but the treatment <em>Snow White</em> gets in Helen Oyeyemi's novel <em>Boy, Snow, Bird</em> is more like a deconstruction of the tale than a mere retelling. Boy is a white woman who realizes her husband is an African-American who has been passing for white only after she gives birth to a black child, Bird. ""Passing"" in this way is a truly magical ability, but it comes at a price. To explain would mean spoilers, and there are some fantastic yet plausible revelations in this story you'll want to discover on your own.","[npr-staff-picks, book-club-ideas, family-matters, seriously-great-writing, the-dark-side]",1594631395,9781594631399
"Mariusz Szczygieł, translated by Antonia Lloyd-Jones",Gottland: Mostly True Stories From Half Of Czechoslovakia,"This book has amazingly surreal vignettes from one of the many former East bloc countries that were trying to live an enforced lie. From the starlet who was Nazi Propaganda Minister Joseph Goebbels' mistress (an affair Hitler himself put an end to) to the man who modeled for a statue of Stalin and then took to drink from being identified as him, these stories are presented with plenty of breathing room for the reader to make inferences. I love that kind of writing.","[npr-staff-picks, eye-opening-reads, for-history-lovers, science-and-society, tales-from-around-the-world]",1612193137,9781612193137
Grady Hendrix,Horrorstör: A Novel,"Ever felt lost and disoriented in a huge imported furniture emporium of Scandinavian design? It's a little sinister, right? So why did it take so long for someone to set a hilarious horror novel in what's essentially a haunted Ikea? (It's called Orsk in the novel.) <em>Horrorstör</em>'s grimly funny pleasures include the novel's sendups of Ikea catalogs, complete with advertisements for Potemkin armchairs, Müskk beds and Lågniå water glasses. The plot — wage slaves up against corporate indifference and a gruesomely vengeful ghost — is mostly an excuse for such lines as, ""There is a dead man on the Frinjk!"" But author Grady Hendrix's wit and trenchant observations about retail culture exceed <em>Horrorstör</em>'s silly concept. The book's been plucked up for TV by the executive who developed <em>Buffy the Vampire Slayer</em> and <em>Angel.</em>","[npr-staff-picks, funny-stuff, mysteries-and-thrillers, science-fiction-and-fantasy, the-dark-side]",1594745269,9781594745263
Ben Lerner,10:04: A Novel,"Ben Lerner <em>(Leaving the Atocha Station)</em> is known for writing fiction that defies categories; he continues to defy — and fascinate — in this latest novel, <em>10:04.</em> Bookended by two historic hurricanes that threatened New York City (Hurricane Irene and Hurricane Sandy) <em>10:04</em> projects our narrator into plotlines that feature a dire medical diagnosis as well as the joy of impending fatherhood with a woman who's a close friend. Lerner's dazzling writing connects and collapses these and other storylines into a rich and strange novel of ideas.","[family-matters, realistic-fiction, seriously-great-writing]",865478104,9788654781049
Phil Klay,Redeployment,"Phil Klay, a former Marine who served in Iraq, delivers perhaps the finest literary account of this generation's wars. In one story, soldiers shoot dogs — not for fun, but because they feel they have to. In another, a soldier who ""collected remains"" in Iraq tells his stories differently back home depending on whether he's talking to men (""funny, with lots of gore"") or women (""sad, with a thousand-yard stare""). The book's 12 narratives bristle with the horrors of war, its effects on ordinary people and the challenges of coming back home with the scars of battle.","[npr-staff-picks, poetry, realistic-fiction, science-and-society, tales-from-around-the-world, the-dark-side]",1594204993,9781594204999
Erin Patinkin and Agatha Kulaga,Ovenly: Sweet And Salty Recipes From New York's Most Creative Bakery,"If I only had a dollar for every cookbook that's come out from a Brooklyn bakery in the past five years! Here we have what at first looks like yet another compilation of sweets and treats — but with flavors just odd enough to seduce and intrigue. The muffins are blueberry cornflake, or feta, basil and scallion; the tarts are caramel bacon, or sour cherry almond. Everything's made with ingredients you can easily find at the supermarket — and yet I'll bet you wouldn't have thought to combine them before.",[cookbooks-and-food],0373892950,9780373892952
Gia Giasullo and Peter Freeman,"The Soda Fountain: Floats, Sundaes, Egg Creams & More — Stories And Flavors Of An American Original","Did you know that the 15-year-old Duke Ellington worked at a soda fountain? That in soda slang, canned milk was an ""armored cow,"" and seltzer water, ""balloon juice""? Sparkling bits of trivia, great photography, and recipes filled with retro syrups and straight-up fizz fill <em>The Soda Fountain</em> from cover to cover.  Gia Giasullo and Peter Freeman, proprietors of the nostalgic Brooklyn Farmacy, will whisk you back to an era of marble countertops and bow-tied soda jerks and leave you smiling — with a snootful of bubbles.","[cookbooks-and-food, for-history-lovers]",1607744848,9781607744849
Rabih Alameddine,An Unnecessary Woman,"<em>An Unnecessary Woman</em> is a story about Beirut, but not the Beirut you see in headlines. Told in the voice of a reclusive older woman, it unfolds within the confines of her small apartment. Her family has forgotten her, she is childless and divorced, and all around her are books that she slowly translates into Arabic. It is a quiet book about a lost woman in a loud, violent city. We see the Lebanese civil war through her memories. It's also a book about literature, and a portrait of a woman living in a volatile time, who shuts out reality and loses herself in the written word until she reaches a breaking point.","[npr-staff-picks, book-club-ideas, eye-opening-reads, for-history-lovers, historical-fiction, realistic-fiction, seriously-great-writing, tales-from-around-the-world]",0802122949,9780802122940
Emily St. John Mandel,Station Eleven: A Novel,"This book isn't <em>exactly</em> a feel-good romp, but for a post-apocalyptic novel, <em>Station Eleven</em> comes remarkably close. It follows a theater group traveling through the Great Lakes region years after a pandemic has wiped out most of humanity. Emily St. John Mandel delivers a beautifully observed walk through her book's 21st century world, as seen by characters who are grappling with what they've lost and what remains. While I was reading it, I kept putting the book down, looking around me, and thinking, ""Everything is a miracle."" And also: ""Survival is insufficient.""","[npr-staff-picks, for-art-lovers, science-fiction-and-fantasy, the-dark-side]",0385353308,9780385353304
Barnaby Phillips,Another Man's War: The Story Of A Burma Boy In Britain's Forgotten Army,"<em>Another Man's War</em> is riveting. It's an extraordinary story, well-researched and beautifully told — but not about the World War II you might know. Barnaby Phillips writes about humanity and compassion from the perspective of a Nigerian soldier whose forgotten colonial unit fought for the British Empire in then-Burma. Sixteen-year-old Isaac Fadoyebo is one of the ""Burma Boys"" who found themselves battling determined Japanese soldiers far away from home. Wounded and left for dead in the jungle, Isaac and Sierra Leonean David Kargbo survive only thanks to the goodness of a local villager, Shuyiman, and his family. Phillips delves deep into relationships, identity and much more in this stunning book. I couldn't put it down.","[npr-staff-picks, biography-and-memoir, book-club-ideas, eye-opening-reads, for-history-lovers, science-and-society, tales-from-around-the-world]",1780745222,9781780745220
Jeff Hobbs,The Short And Tragic Life Of Robert Peace: A Brilliant Young Man Who Left Newark For The Ivy League,"Every year there is one nonfiction book that makes me shake up my steady diet of fiction. In 2014, it was this detailed and moving portrait of a most complicated young man, who was found murdered in a basement near Newark, N.J. Robert Peace grew up poor outside Newark. He sold marijuana, but he was also a brilliant Yale University graduate who majored in molecular biophysics and biochemistry. Peace's friend and Yale roommate of four years, writer Jeff Hobbs, makes a complete investigation — from birth to death — of all that made up Peace's life. Reading the book, you become witness to tremendous potential lost, and you'll think about race, education and poverty in ways that perhaps you hadn't before. It can make for excruciating reading at times — excruciating, yet essential.","[npr-staff-picks, biography-and-memoir, eye-opening-reads, science-and-society, the-dark-side]",147673190X,9781476731902
Claudia Rankine,Citizen: An American Lyric,"Though Claudia Rankine's poetry, by turns lyrical and narrative, is always stunning in its ability to speak to the present American moment, <em>Citizen</em> feels especially necessary. A finalist for the National Book Award, this collection examines everyday encounters with racism in the second person, forcing the reader — regardless of identity — to engage a narrative haunted by the deaths of Michael Brown, Trayvon Martin and Renisha McBride.","[book-club-ideas, eye-opening-reads, poetry, science-and-society, seriously-great-writing]",1555976905,9781555976903
Dinaw Mengestu,All Our Names,"In <em>All Our Names,</em> Dinaw Mengestu explores the nature of loneliness and love, violence and identity. The story is told by two narrators: Isaac is a young man who flees revolution in Uganda to seek refuge in America; and Helen is a white woman, a social worker assigned to his case, who has never left the Midwest. It's the 1970s and the taboo against mixed-race couples is still powerful, but the two fall into a passionate and secretive affair. Other kinds of secrets emerge as Isaac's story unfolds and Helen begins to understand that he has left his real identity, and much more, back in Uganda. There is nothing simple about their affair; it is born out of loneliness and complicated by prejudice and war. But it is a love that, in the end, saves these characters and redeems them.","[npr-staff-picks, love-stories, realistic-fiction, tales-from-around-the-world]",0385349987,9780385349987
Anne Leckie,Ancillary Sword,"Anne Leckie's debut, <em>Ancillary Justice,</em> provided vast distances, sentient spaceships and a galactic empire in crisis. Against this grand backdrop there was a thoughtful examination of loyalty and the fragmentation of identity. Set in the same world of Imperial Radch, her second book finds the protagonist Breq tasked with the protection of the sibling of a friend she fatally betrayed. Once part of the shared consciousness of a mighty warship and all its troops, Breq is now a soldier, reduced to a single body and mind — confined and mortal. Through her, the reader is urged to examine just what it is that makes us truly human.","[science-fiction-and-fantasy, seriously-great-writing]",0316246654,9780316246651
Jacqueline Woodson,Brown Girl Dreaming,"Earlier this year, when I spent a day with Jacqueline Woodson for a story, I saw that the realness she brings to her writing is also present in person, allowing her to captivate grade-school students with her stories about life and her lessons about acceptance. In this book, she uses free verse to tell the story of growing up in a segregated South. It's for children as much as it is for adults; the themes — of aching for home, searching for family support and discovering one's voice — will resonate with everyone. It's beautiful and, most important, accessible.","[npr-staff-picks, biography-and-memoir, poetry, science-and-society, young-adult]",0399252517,9780399252518
Kate Samworth,Aviary Wonders Inc. Spring Catalog And Instruction Manual,"This might be the weirdest picture book published this year. Its premise is that in the future (2031 to be exact) birds will be extinct. Or at least, birds as we know them. It begins, ""Whether you are looking for a companion, want to make something beautiful, or just want to listen to birdsong, we'll supply everything you need to build your own bird."" The next 30 pages are an illustrated catalog of wings, legs, tails, combs, and feathers. In the back are ""Assembly Instructions"" (""Step 2: Attaching The Beak."") The illustrations are serious art — full-color paintings that would look at home in a museum. At its heart the book is a warning about habitat destruction, but mostly, it will make you laugh, and children with a sense of whimsy will be delighted to imagine building a bird. (For ages 9 to 12)","[npr-staff-picks, for-art-lovers, funny-stuff, kids-books, science-fiction-and-fantasy, the-dark-side]",0547978995,9780547978994
James Ellroy,Perfidia: A Novel,"James Ellroy is back in 1940s Los Angeles with <em>Perfidia,</em> the first book in a new series. It covers just a few weeks around the bombing of Pearl Harbor, when all of America (and LA in particular) is descending into madness and xenophobic fury. The plot revolves around the ritual murder of a Japanese family, but the big draw for Ellroy fans is the opportunity to see some of his already famous characters (like Dudley Smith, most notably) in the hotblooded viciousness of their youth. It's a beautiful, violent, epic novel about a dark time in America that's too often made glossy and bright in our memories.","[for-history-lovers, historical-fiction, mysteries-and-thrillers, rather-long, realistic-fiction, seriously-great-writing, the-dark-side]",0307956997,9780307956996
Roxane Gay,An Untamed State,"Roxane Gay's first novel grabs you: ""Once upon a time … I was kidnapped by a gang of fearless yet terrified young men. … They held me captive for 13 days. They wanted to break me."" Gay never lets up, describing with force and passion a story that happens to women in cities around the world, making it visceral and real. A young lawyer, kidnapped in Port-au-Prince and held for ransom, returns to her husband and baby son changed, but the intervention of her kind, tender mother-in-law is a healing gift. Powerful work from an original new voice: We're listening.","[family-matters, seriously-great-writing, tales-from-around-the-world, the-dark-side]",0802122515,9780802122513
Christian Rudder,Dataclysm: Who We Are (When We Think No One's Looking),"One of the founders of OKCupid pored over tons of data collected on the dating site and came up with this book. I loved sharing his observations about how different groups typically use words or phrases: One never misspells words, another is totally into campfires and yet another is likely to have an interest in some form of bachata. There is truth here, elusive though its applicability may be. Mostly it's just great for bar discussions.","[npr-staff-picks, book-club-ideas, eye-opening-reads, its-all-geek-to-me, lets-talk-about-sex, science-and-society]",0385347375,9780385347372
Tom Rob Smith,The Farm,"This is easily the novel I talked about the most this year and most adamantly pressed into other people's hands. British author Tom Rob Smith is a thriller writer, but of the literary, fiercely smart variety. Here, he found inspiration in real life — his life. In 2009, Smith received a startling phone call from his father in Sweden, where his parents had retired to a small, remote farm. His father said he had put his wife, Smith's mother, in a psychiatric hospital. Smith's mother called soon after, saying that his father was lying and was involved in a criminal conspiracy. She would fly back to London to tell her son everything. Which parent to believe? He had no cause to doubt either, and his mother had never shown any sign of mental illness before. From this beginning, Smith spins a novel of doubt and secrets set in a bleak yet beautiful Swedish landscape.","[npr-staff-picks, book-club-ideas, family-matters, mysteries-and-thrillers, realistic-fiction, tales-from-around-the-world, the-dark-side]",446550736,9784465507366
George Clinton,"Brothas Be, Yo Like George, Ain't That Funkin' Kinda Hard On You? A Memoir","You had to expect that Parliament-Funkadelic producer-visionary George Clinton would give his memoir a title just as jovial, provocative and kaleidoscope-colorful as his 50-year musical <em>oeuvre</em> (not to mention his trademark rainbow hairstyle). This page-turner gives us real insight into the roots of Clintonian genius: He innovated a new amalgam of funk, rock, metal and pop in the 1960s and ‘70s by bringing together his love for Motown, Jimi Hendrix, mambo, science fiction, Aristotelian philosophy and subversive political humor. The memoir's last third sobers us up: While hip-hop samplers help extend Clinton's legacy, the musician finds himself more often in court, fighting copyright infringement, than in the studio. The book is ultimately a parable of a postwar hippie's creativity hemmed in not by sex, drugs and rock ‘n' roll but by the gravity of a cynical and twisted music business.","[npr-staff-picks, biography-and-memoir, for-music-lovers]",1476751072,9781476751078
