author,title,text,tags,isbn,isbn13
Pam Muñoz Ryan,Echo,"Stories within stories intertwine as the lives of three children from three vastly different backdrops and time frames set the stage for <em>Echo.</em> From bleak Nazi Germany to a Depression-era orphanage in Pennsylvania, to sunny World War II Southern California, a deceptively simple harmonica becomes a powerful instrument in the hands of each child. Though they never meet, these three are bound together not just by the harmonic notes but by their bravery, determination and heart. Pam Muñoz Ryan's modern classic draws you in, and you will still hear the music, long after the last page is read. (For ages 10 to 14)","[family-matters, for-music-lovers, historical-fiction, kids-books, seriously-great-writing]",0439874025,9780439874021
Mike Wu,Ellie,"Introducing Ellie, an adorable baby elephant. When she hears that her zoo is closing, little Ellie is sad because there's nothing she can do to help ... until she comes across a brush and some paint. As Ellie begins to experiment she discovers that her paintings can help to keep the zoo open. Mike Wu's friendly watercolors harken back to an earlier era of picture books, and this story of hope, determination and creativity saving the day will leave you cheering for <em>Ellie.</em> (For ages 3 to 5)","[for-art-lovers, kids-books]",1484712390,9781484712399
Alex Gino,George,"George has a secret. She knows something no one else does — that she's not a boy, she's a girl. Only, George is too scared to tell people, for fear they won't understand, or they will laugh ... or they will stop loving her. But when George takes on the role of Charlotte in her class's production of <em>Charlotte's Web,</em> she can finally show the world who she really is. Warm, funny and heartbreaking, Alex Gino's incredible debut novel <em>George</em> is one to cherish and share. (For ages 8 to 12)","[family-matters, identity-and-culture, kids-books, realistic-fiction]",1407158279,9781407158273
"Deborah Underwood, illustrated and co-authored by Meg Hunt",Interstellar Cinderella,"Take a classic fairy tale, blast it into outer space, give the heroine a toolbox, and welcome to the world of <em>Interstellar Cinderella.</em> In this upbeat retelling by Deborah Underwood, Cinderella is a whiz at mechanics. When she rescues the prince by fixing his spaceship, he becomes smitten. But will she marry him, or does this Cinderella have other ideas? Debut picture book illustrator Meg Hunt's strong and lively art delves into a palette of deep purples, rusts and blues to show off a galaxy where anything is possible. (For ages 3 to 5)","[funny-stuff, its-all-geek-to-me, kids-books, ladies-first, science-fiction-and-fantasy]",1452125325,9781452125329
Julia Sarcone-Roach,The Bear Ate Your Sandwich,"Prepare to be thoroughly entertained by this delightful story about a missing sandwich and the bear who ate it. Julia Sarcone-Roach's active, engaging and detailed illustrations chronicle Bear's rollicking journey from the forest to the city. The adventure culminates at a park bench where a lunchbox lies open. Hungry, Bear is caught devouring the sandwich. Embarrassed, he longs for the forest and we bid him farewell as he sets sail to return home. A surprise ending will leave you laughing out loud. (For ages 3 to 7)","[cookbooks-and-food, funny-stuff, kids-books]",0375858601,9780375858604
Emily Hughes,The Little Gardener,"This beautifully illustrated book tells the magical tale of a tiny boy who loves his garden more than anything. It provides him with joy, shelter and food; it is his entire world. Sadly, it becomes too much for him to handle alone — and he risks losing it all. Emily Hughes' spare prose allows her gorgeous artwork to tell the story of the gardener and the single flower that brings him inspiration and hope. Layered with meaning, this is a book worth lingering over and cherishing. (For ages 3 to 7)",[kids-books],1909263435,9781909263437
Kat Yeh,The Truth About Twinkie Pie,"Toss together daring hairdos, an incredible cast of characters and a whole lot of delicious desserts and you've got the recipe for a delightful page-turner. Whip-smart 12-year-old GiGi is the new girl at a posh New York school. However, her hairdresser sister, her trailer park past and a suitcase full of family secrets threaten to unravel GiGi's life. In this scrumptious debut novel, Kat Yeh creates a world so wonderful you're never going to want to leave. (For ages 8 to 12)","[family-matters, funny-stuff, kids-books]",0316236624,9780316236621
Pamela Zagarenski,The Whisper,"Pamela Zagarenski's <em>The Whisper</em> is an invitation to stretch your imagination. A girl is lent an enchanted book by her teacher and, as she heads home, the words fly out and are caught by a sly fox who may have a story of his own. Disheartened by the wordless pages, the girl hears a whisper, ""You can imagine the stories."" Slowly, she begins to spin her own tales and learns to become a storyteller. Gorgeous paintings with rich colors and exquisite details will have you lingering over each page and creating stories of your own. (For ages 4 to 7)",[kids-books],0544416864,9780544416864
"Emily Jenkins, illustrated by Paul O. Zelinsky","Toys Meet Snow: Being The Wintertime Adventures Of A Curious Stuffed Buffalo, A Sensitive Plush Stingray, And A Book-Loving Rubber Ball","Whether you're already acquainted with Lumphy, StingRay and Plastic from their chapter books, or are just meeting them now, you're sure to love <em>Toys Meet Snow.</em> As the three venture out into the snow for the first time, their unique personalities shine through. Each toy's impressions and observations are full of imagination and charm. Emily Jenkins' masterful text is deceptively simple, and Paul O. Zelinsky's warm and wonderful illustrations make this book an enchanting read for all seasons. (For ages 3 to 7)",[kids-books],0385373309,9780385373302
"Eve Bunting, illustrated by Lauren Castillo",Yard Sale,"Yard sales can be fun — but not when your favorite things are being sold. Callie's move from a house to a small apartment is told with warmth and compassion. As she watches her family's belongings being picked over and purchased, Callie's heartache is palpable. Lauren Castillo's watercolor and ink illustrations compliment Eve Bunting's tender first-person telling of a routine event. However, <em>Yard Sale</em> is wholly Callie's story, and we are heartened by her realization that though their belongings are gone, her family remains together to comfort and love one another. (For ages 3 to 7)","[family-matters, funny-stuff, kids-books]",0763665428,9780763665425
"Tammi Sauer, illustrated by Goro Fujita",Your Alien,"New friends can come from far-flung places ... or planets. In this charming story, a boy meets a little green alien. Instantly, the two become inseparable, sharing fun and adventures. However, at bedtime, the boy sees his new friend growing sad. Hard as it is, he must somehow help his friend get home. In <em>Your Alien,</em> Tammi Sauer captures the giddy joy of friendship and the heartbreak of saying goodbye. This, coupled with Goro Fujita's friendly and engaging illustrations, will make you long for an alien friend of your own. (For ages 3 and up)","[funny-stuff, kids-books, science-fiction-and-fantasy]",1454911298,9781454911296
Carson Ellis,Home,"A gentle meditation on the idea of what constitutes a home, Carson Ellis' picture book is whimsical and thought-provoking. Her lovely watercolor illustrations imbue both the grand (Slovakian duchesses' mansions) and the familiar (an urban apartment) with ornate charm, but it is her inspired depictions of the odd (a Norse god's castle and a mysterious estate encased in a geodesic dome) that make the book stand out. Best of all, in the final illustration of Ellis' own studio (""An artist lives here""), each piece of bric-a-brac ties back to the vignettes shown previously, a detail attentive rereaders will surely find delightful. (For ages 4 to 8)","[family-matters, for-art-lovers, kids-books]",0763665290,9780763665296
Lucia Berlin,A Manual For Cleaning Women: Selected Stories,"Cleaning ladies are rare characters in literary fiction; so, too, are clerical workers and hospital staff, but they populate Lucia Berlin's stories because Berlin herself held those kinds of jobs before her death in 2004. This collection of 43 of Berlin's stories aims to bring her the recognition she never enjoyed in her own rocky lifetime. You can imagine the narrators of these stories sitting down next to you in a bar after work, ordering a first shot and, unbidden, starting to talk about their crappy days. Berlin had been around the block a few too many times to sugarcoat things. But her one-of-a-kind voice and vision make these stories well worth the pain.","[staff-picks, book-club-ideas, poetry, realistic-fiction, seriously-great-writing]",0374202397,9780374202392
Denise Inge,A Tour Of Bones: Facing Fear And Looking For Life,"When Denise Inge's husband, John, was appointed the bishop of Worcester Cathedral in 2008, she discovered their new house was built over an ossuary, or ""charnel house."" The bones of Benedictine monks were collected there in medieval times. It took Inge a while to work up the courage to descend into that cellar. Gazing on all those skulls and femurs brought Inge face to face with the brevity of life and propelled her on a journey, both literal and spiritual, in which she visited bone houses throughout Europe. As a book — part travelogue, part memoir, part memento mori — <em>A Tour of Bones</em> is as strange and inspiring as are any of the bone houses that Inge visited.","[staff-picks, biography-and-memoir, book-club-ideas, eye-opening-reads, nonfiction, tales-from-around-the-world, the-dark-side]",1472913078,9781472913074
George Hodgman,Bettyville: A Memoir,"Last year's literary tour de force about the trials of tending to aged parents was Roz Chast's <em>Can't We Talk About Something More Pleasant?</em>; This year's must-read dispatch from the frontlines of caretaking is George Hodgman's <em>Bettyville.</em> A few years ago, Hodgman, who had enjoyed a highflying publishing career, lost his job and returned to his childhood home in Paris, Mo., to care for his 90-year-old mother, Betty. The kicker is that Betty has never acknowledged that her only son is gay. <em>Bettyville</em> powerfully chronicles the exhaustion and absurdity of eldercare, as well as the psychic cost of maintaining a familial relationship that demands silence.","[staff-picks, biography-and-memoir, book-club-ideas, family-matters, identity-and-culture, nonfiction]",0525427201,9780525427209
John Grisham,Rogue Lawyer,"<em>Rogue Lawyer</em> introduces readers to a so-called street lawyer named Sebastian Rudd. Or, maybe a better term for Rudd would be ""mobile lawyer,"" because, ever since his office was firebombed, he's been operating out of a bulletproof van and not sleeping in the same place for more than a few days. ""Mr. Smooth,"" Rudd is not — he rubs both criminals and cops the wrong way. But, in hallowed Grisham tradition, scrappy Rudd is the defense lawyer you want sitting beside you in the courtroom when things look bleak. The biggest mystery that <em>Rogue Lawyer</em> poses is how John Grisham, at this stage in his long writing career, can still concoct all these distinctive characters, tricky legal predicaments and clever ways to worm out of them.","[staff-picks, mysteries-and-thrillers]",0385539436,9780385539432
Kazuo Ishiguro,The Buried Giant: A Novel,"No novelist around today beats Ishiguro when it comes to writing about loss; and, almost every time he tackles his signature subject, he does so in a different genre: His breakthrough book, <em>The Remains of the Day,</em> is a ""straight"" literary novel in diary form; <em>When We Were Orphans</em> is a detective tale and <em>Never Let Me Go</em> is a sci-fi story. Here, Ishiguro serves up a masterful blend of fantasy, and Arthurian romance and postmodern absurdity.  In <em>The Buried Giant,</em> an exhausted group of medieval travelers cross a blasted landscape straight out of the plays and novels of Samuel Beckett. They ""can't go on,"" but they ""go on"" and so, too, do Ishiguro's readers, through scenes infused with menace and magical beauty.","[staff-picks, historical-fiction, love-stories, science-fiction-and-fantasy, seriously-great-writing]",030727103X,9780307271037
Michael Connelly,The Crossing (Bosch),"In <em>The Crossing,</em> Hieronymus ""Harry"" Bosch, the hero of Michael Connelly's long-running series of police procedurals, has been forced to retire from the LAPD. Harry gives leisure living a halfhearted try, but he finds that the vintage motorcycle he had planned to tinker with as a hobby interests him for about 10 minutes. Indeed, so antsy is Harry that when his half-brother, Mickey Haller (who is himself the hero of Connelly's ""Lincoln Lawyer"" series), asks him to sign on as an investigator, Harry surprisingly agrees. Haller, after all, is the enemy — a criminal defense attorney — and working for him means Harry is ""crossing"" over to the other side. Harry may be officially over the hill as far as the Los Angeles Police Department is concerned, but Connelly is still very much in his prime.","[staff-picks, mysteries-and-thrillers, seriously-great-writing]",0316225886,9780316225885
Elena Ferrante,"The Story Of The Lost Child: Neapolitan Novels, Book Four","For the past few years, Europa Editions has been bringing out Elena Ferrante's series of literary novels about an edgy, decades-long friendship between two women in Naples. The fourth and final of the ""Neapolitan Novels,"" titled <em>The Story of the Lost Child,</em> has just been published. It's spectacular, but you will realize how spectacular it is only if you do not cheat. You must read the three earlier (also superb) Neapolitan Novels, or the perfect devastation wreaked by the conclusion of this last novel will be lost on you.","[staff-picks, book-club-ideas, family-matters, historical-fiction, rather-long, realistic-fiction, seriously-great-writing, tales-from-around-the-world]",1609452860,9781609452865
Stacy Schiff,"The Witches: Salem, 1692","In the haunting opening of <em>The Witches,</em> popular historian Stacy Schiff announces her intention to summon up, rather than solve, the mystery of the witch hunts that racked Salem in 1692. She says: ""Salem represents one of the rare moments in our enlightened past when the candles are knocked out and everyone seems to be groping about in the dark, the place where all good stories begin."" Indeed they do. <em>The Witches</em> surveys the ministers and the odd women easily targeted as witches; the intransient judges; and the teenage girls who found their voice in claiming to be bewitched. Schiff makes the dark an inviting place to linger.","[staff-picks, book-club-ideas, eye-opening-reads, for-history-lovers, ladies-first, nonfiction, rather-long, the-dark-side]",0316200603,9780316200608
T. Geronimo Johnson,Welcome To Braggsville,"T. Geronimo Johnson's timely novel is a tipsy social satire about race. A white, working-class Southerner named D'aron Davenport gets a scholarship to Berkeley — or ""Berzerkeley."" Once there, he's inspired by an alt history course to return to his hometown of Braggsville with some classmates to scrutinize the town's annual Civil War re-enactment. As social satirist, Johnson is an equal opportunity mocker. The smugness of the elite university classroom is mirrored by the anti-intellectualism of Braggsville. <em>Welcome to Braggsville</em> deploys stream-of-consciousness poetry, fantasy and straight-up realism to explore the ways Americans miscommunicate when we try to talk about race.","[staff-picks, book-club-ideas, funny-stuff, identity-and-culture, nonfiction, seriously-great-writing]",0062302124,9780062302120
Padgett Powell,"Cries for Help, Various: Stories","Padgett Powell captures voices and thoughts so exquisitely it hurts to read sometimes; you want to stop to laugh or sigh but you also can't wait to see what comes next. In these 44 stories, Powell grabs you and lets you go at the same time — with poignant observations and expressions of longing followed by a quick comment on how banal it all is. He does it in the title itself, <em>Cries for Help, Various,</em> and he delivers it again and again in his finely wrought stories.","[staff-picks, funny-stuff, poetry, seriously-great-writing]",1936787318,9781936787319
Percival Everett,Half An Inch Of Water: Stories,"These stories aren't filled with stylistic somersaults and authorial acrobatics. They are plain in the best sense, an exemplar of high-plains stoicism. Though the stories share locations and characters, there's no overarching narrative. The stories unfold in dry Wyoming and Colorado, where things aren't good or bad, they just are: ominous and evocative and marvelous and difficult and amusing and bizarre.","[staff-picks, book-club-ideas, poetry, realistic-fiction]",1555977197,9781555977191
Matthew Diffee,Hand Drawn Jokes For Smart Attractive People,"I'm barely average, so I may not have gotten as much out of it as you will. Still, even if you only understand 56 percent of what's going on, this book is hilarious. Matthew Diffee is a master of conciseness. One drawing, a few words, and you'll be calling people over to show them what you just discovered. The introductions to the thematically organized chapters are superb examples of joke-writing as well.","[staff-picks, comics-and-graphic-novels, funny-stuff]",1476748748,9781476748740
J. Ryan Stradal,Kitchens Of The Great Midwest: A Novel,"The greatest magic in this book isn't its depiction of foodie culture, which itself is quite wonderful. The magic lies in the way the main character — an elusive celebrity chef of destination dining — is revealed. The book is a chronological series of vignettes, from an infancy in which her father feeds her pureed pork shoulder, to her 30s, when she is the celebrity chef hosting secret destination dinners at $5,000 a plate. Never, though, is she the main actor in the events. I'm still scratching my head about how J. Ryan Stradal pulled it off.","[staff-picks, book-club-ideas, cookbooks-and-food, family-matters]",052542914X,9780525429142
Tom McCarthy,Satin Island: A Novel,"Tom McCarthy himself writes in the novel (parenthetically, how else?): ""(events! If you want those, you'd best stop reading now)."" So it's not a page-turner, but it is a mind-turner, and sometimes that kind of book hits the spot. The nameless protagonist (OK, he has a name: U) is a corporate anthropologist — he studies businesses as cultures — and is inspired by events around him (failed parachute in news; oil spill; friend's cancer; girlfriend's interrogation by sinister forces) to develop a Grand Theory of Everything. No real story results, but the thinking and the sentence-writing are breathtaking.","[staff-picks, book-club-ideas]",0307593959,9780307593955
Mary Karr,The Art Of Memoir,"This is a win-win kind of book. It stimulates in two ways: First, as a textbook of sorts — even if you don't plan to write a memoir, thinking about memory and communicating past events will set your mind tumbling over itself. And second, as a resource, a bibliography — the books Mary Karr mentions promise to be great reads. (The ones I've read are.) Oh, and one more: If you <em>are</em> planning to write a memoir, this is the best possible way to procrastinate putting pen to paper.","[staff-picks, biography-and-memoir, family-matters, nonfiction]",0062223062,9780062223067
Paula Hawkins,The Girl On The Train,"Glimpses, fleeting images and faulty memories all add up in this super intriguing ""what the heck is going on?"" story. An unemployed, alcoholic divorcee (""Girl"") continues her daily commute to keep up appearances — and also because it takes her by her old house, where her ex continues to live with his new wife and kid. When the neighbor four doors down disappears, ""Girl"" gets involved. The story is told in the first person alternately by three different characters (""Girl,"" missing neighbor, and new wife) in incremental morning and evening diary like entries and you're never quite sure whom or what to believe.","[staff-picks, mysteries-and-thrillers, realistic-fiction, the-dark-side]",1594633665,9781594633669
Barton Swaim,The Speechwriter: A Brief Education In Politics,"In this short memoir, Barton Swaim describes what it was like to work as a speechwriter for former South Carolina Gov. Mark Sanford. The governor's marital infidelity (yes, <em>that</em> governor — think ""Appalachian Trail"") and other moral shortcomings take a back seat here. And deservedly so, for Swaim's approach is far more entertaining and, if you care about language, far more indicting. He describes an administration in which the mistreatment of language — and staff — was commonplace.","[staff-picks, biography-and-memoir, eye-opening-reads, funny-stuff, nonfiction]",1476769923,9781476769929
David Mitchell,Thinking About It Only Makes It Worse (And Other Lessons From Modern Life),"There are two different famous David Mitchells — there's David Mitchell the novelist and David Mitchell the actor/comedian/panel show guest/columnist/writer. This book is written by the latter Mitchell, who is witty, clever, insightful and continually flustered by modern life. He's a British Robert Benchley, if you will. He questions and pokes at modern platitudes in a fun, mocking way — from a defense of the British habit of apologizing to a cynical analysis of the ways we spend our time and money.","[staff-picks, funny-stuff, nonfiction, tales-from-around-the-world]",1783350563,9781783350568
"Matt de la Peña, illustrated by Christian Robinson",Last Stop On Market Street,"Every week a little boy and his grandma hop on the bus after church. Along the way, they meet all kinds of people — a person with lots of tattoos, a flirty blind man, a dude playing guitar. The boy complains about the rain and about not having a car. The grandmother is stern, but loving; they don't need a car, and the rain waters the trees by the bus stop. The book features a diverse cast of characters, but it's not a book <em>about</em> diversity. It's a story about a kid and his grandma and the city, and the beauty and excitement of everyday adventures. (For ages 3 to 5)","[staff-picks, family-matters, kids-books]",0399257748,9780399257742
Larissa MacFarquhar,"Strangers Drowning: Grappling With Impossible Idealism, Drastic Choices, And The Overpowering Urge To Help","This book makes me uncomfortable, and not just in that smug way, like saying after a lecture on ethics, ""Well, at least I'm struggling with these questions, right?"" No, this book — which offers both a history of altruism and profiles of ""extreme"" altruists, like the couple who adopted 22 kids — makes me question whether I've ever done anything good in my life. But Larissa MacFarquhar writes so simply and beautifully that I forget my discomfort and just let her narrative carry me along. In fact, this is a book that would be less upsetting if it never ended, and we could all just live in her prose forever. That way we'd never have to face the upshot, which is that it's very, very difficult to be a good person.","[staff-picks, book-club-ideas, nonfiction, seriously-great-writing]",1594204330,9781594204333
Diana Henry,A Bird In The Hand: Chicken Recipes For Every Day And Every Mood,"You can almost always count on London columnist Diana Henry (now on her ninth publication) for a beautiful book that's fairly accessible — and what's more accessible than chicken? <em>A Bird in the Hand</em> offers more than 100 ways to approach everybody's favorite fowl, from classic international favorites like saltimbocca and Korean fried chicken wings to squabs perfumed in rosewater and sauced in sour cherries. There are chicken pastas and chicken salads and chicken curries; it almost makes you wonder, why ever eat anything else?",[cookbooks-and-food],178472002X,9781784720025
Laura Santtini,At Home With Umami: Home-Cooked Recipes Unlocking The Magic Of Super-Savory Deliciousness,"British restaurateur and food entrepreneur Laura Santtini has hitched her wagon to the ""fifth taste"" — umami. In 2010 she launched ""Taste #5 Umami Bomb"" — all the savory flavors of umami, in a squeezable tube. Her cookbook, however, doesn't simply push the product. It's an eclectic collection of recipes that hop from country to country — <em>croquetas</em> and hamburger and rendang to madeleines and cheesecake. Each one turns up the volume on umami via anchovies, tomatoes, miso, Parmesan, whatever it takes. You can serve them up with an explanation about the fifth flavor if you like — or you can just quietly keep eating, before you lose your chance at seconds.",[cookbooks-and-food],1849756678,9781849756679
"Bernard Laurance, photographed by Amélie Roche",Baklava To Tarte Tatin: A World Tour In 110 Dessert Recipes,"Popular French blogger <a href=""http://www.lacuisinedebernard.com/"" target=""_blank"">Bernard Laurance</a> may be little-known stateside, but he aims to change that with a new <a href=""http://www.cookingwithbernard.com/"" target=""_blank"">English-language blog</a> and his first book. It's not the first globetrotting baking book — there's one every few  years — but it's an accessible and evenhanded one that visits every continent. There are fussy <em>canelés</em> and easy brownies; spiced nuts and sticky sweets — in fact there's something, most likely, for even the most unadventurous palate.","[cookbooks-and-food, tales-from-around-the-world]",2080202154,9782080202154
Lizzie Mabbott,Chinatown Kitchen From Noodles To Nuoc Cham: Delicious Dishes From Southeast Asian Ingredients,"British blogger Lizzie Mabbott had a sleeper hit this year in <em>Chinatown Kitchen,</em> a rollicking and robust ode to traditional (and not-so-traditional) recipes using Southeast Asian ingredients. It's less a Chinese cookbook than an adventurous romp through the overlapping cuisines of Malaysia, Singapore, Thailand, Vietnam, Japan, China and Indonesia. Juicy to look at and fiery fun to eat.","[cookbooks-and-food, tales-from-around-the-world]",1784720313,9781784720315
Mindy Segal and Kate Leahy,Cookie Love: More Than 60 Recipes And Techniques For Turning The Ordinary Into The Extraordinary,"Smoky bacon candy bar cookies? Folgers crystals with sour cream gianduja shortbread? Graham cracker and passion fruit whoopie cookies? It's not your grandma's bake sale! Mindy Segal, proprietor of Chicago-based HotChocolate Restaurant and Dessert Bar, dares you to redefine your cookie repertoire. There are some standards — brownies, thumbprints, snickerdoodles — but most of these cookies push the envelope, and keep right on going.",[cookbooks-and-food],1607746816,9781607746812
Deanna F. Cook,Cooking Class: 57 Fun Recipes Kids Will Love To Make (And Eat!),"Of all the kids' cooking books that have crossed my threshold over the years, this is the one. I usually hand them to my 9-year-old for a first opinion before looking at them myself, but this one I never got back. It's got punchy graphics and clear instructions. It's got pictures of other kids cooking by themselves. It's got peel-off labels for your homemade dressings. And now, it's got stains and sticky spots, sure signs of devotion.","[cookbooks-and-food, family-matters, kids-books]",1612124003,9781612124001
