author,title,text,tags,isbn,isbn13
"Andrea Beaty, illustrated by David Roberts","Ada Twist, Scientist","Why? Why? Why does Ada Twist ask so many questions? In this clever, fun and breezy book, Ada's boundless curiosity propels her forward in her quest to understand the world and beyond. Though her endless experiments sometimes give way to disastrous results, we are rooting for this curious young scientist. With rhyming text by Andrea Beaty and energetic mixed media art by David Roberts, <em>Ada Twist, Scientist</em> deftly addresses the STEM (science, technology, engineering and math) fields. However, ultimately this is a book about Ada, a girl who yearns to follow her passion and achieve her dream. (For ages 5 to 7)","[funny-stuff, its-all-geek-to-me, kids-books, ladies-first, science]",1419721372,9781419721373
Tom Bullough,Addlands: A Novel,"<em>Addlands</em> is a novel with poetry and fistfights; sex and backbreaking work; horse-drawn plows and cellphones; and the occasional Welsh word to help situate you in the stark and stunning countryside. There, it doesn't much matter what decade (or century) it is, and I loved spending time with this Welsh farm family — some 70 years — stretching back from World War II to modern times.","[staff-picks, book-club-ideas, family-matters, historical-fiction, seriously-great-writing, tales-from-around-the-world]",0812998723,9780812998726
Diana Athill,"Alive, Alive Oh!: And Other Things That Matter","Diana Athill is, by her own account, a very old woman. At 98, she lives in a home for the elderly in North London. This small and lovely book is a collection of favorite memories that return to Athill at the end of her life. It is a charming book for the company alone, for the luxury of wandering in someone else's best memories, but it is also a nimble recasting of the familiar warning: gather ye rosebuds, memento mori, carpe diem, what have you, because we do not live forever.","[biography-and-memoir, book-club-ideas, ladies-first, nonfiction, rather-short]",0393253716,9780393253719
David Szalay,All That Man Is: A Novel,"Nine stories of nine European men, in European countries not of their birth. Nine uncomfortable stories of men at their smallest, their weakest, their loneliest, obsessing about love (or the lack thereof) and wealth (or the lack or loss thereof). It doesn't sound like much of a feast, but these tales are unwrapped so gently and so without judgement, they make these lost men utterly human (and even somewhat likable).","[staff-picks, realistic-fiction, tales-from-around-the-world]",1555977537,9781555977535
Charlie Jane Anders,All The Birds In The Sky,"There aren't any swords or lasers in Charlie Jane Anders' <em>All the Birds in the Sky</em> — instead, it mixes science fiction and fantasy in a profound alchemy. The love story of a young, bird-communing witch and a young, time-traveling scientist, <em>Birds</em> sensitively raises some of the philosophical issues the human race faces as it ventures further into the future. The book is as full of quirkiness and playful detail as it is packed with overwhelming depth and poignancy — but more than that, it's a laser sword straight to the heart.","[its-all-geek-to-me, love-stories, science, science-fiction-and-fantasy]",0765379945,9780765379948
Rebecca Traister,All The Single Ladies: Unmarried Women And The Rise Of An Independent Nation,"<em>All the Single Ladies</em> begins with a milestone statistic: For the first time in the U.S., single adult women now outnumber married adult women. From there, the book takes a celebratory look at women's hard-fought independence and the realities (both good and bad) of being a woman on your own. Author Rebecca Traister effortlessly bridges the gap between Susan B. Anthony (who predicted an ""epoch of single women"" back in the 1870s) and Carrie Bradshaw, highlighting the lives and choices of single women past and present. As Traister writes, ""The story of single women is the story of the country."" <a href="" https://www.youtube.com/watch?v=4m1EFMoRFvY"" target=""_blank"" >Now put your hands up!</a>","[staff-picks, eye-opening-reads, for-history-lovers, identity-and-culture, ladies-first, nonfiction]",1476716560,9781476716565
David Kushner,Alligator Candy: A Memoir,"Don't let the sugary title fool you. In this memoir, David Kushner takes us down a dark path as he unravels the senseless crime that has haunted his family: In 1973, Kushner's 11-year-old brother was murdered after taking a carefree bike ride through the woods near their suburban Florida home. Kushner carefully reconstructs the shocking crime, but, more than that, his memoir is a powerful exploration of loss, survival and the tricks of memory.","[staff-picks, biography-and-memoir, family-matters, nonfiction, the-dark-side]",1451682530,9781451682533
Anne Byrn,"American Cake: From Colonial Gingerbread To Classic Layer, The Stories And Recipes Behind More Than 125 Of Our Best-Loved Cakes","If you like cakes, you're not alone. For 250 years, Americans have been making whatever cake they could with whatever they could find. Anne Byrn's impressive, big-hearted, historical tribute to the genre is a must-have for its dizzying diversity. (You surely haven't heard of Oregon prune cake, Texas sheath cake or Scripture Cake, have you?) You can trace America's gastronomic evolution and geographic expansion from cornmeal and molasses to Hershey bars and pineapples. Both the cakes and their stories are obscure, unexpected, delightful and worth getting to know, one sweet slice of history at a time.","[cookbooks-and-food, for-history-lovers]",1623365430,9781623365431
Helen Ellis,American Housewife,"This delightfully zany book of short stories is Nora Ephron's <em>I Feel Bad About My Neck</em> with a Southern drawl and a dark sense of humor. Novelist Helen Ellis took a long hiatus from writing, but her time as a ""housewife"" (her words) provided plenty of fodder. In this collection, Ellis turns her sharp wit on dinner parties, dishwashers, book clubs and passive-aggressive neighbors. The result is funnier — and far more sinister — than you might expect.","[staff-picks, book-club-ideas, family-matters, funny-stuff, ladies-first, poetry]",0385541031,9780385541039
John Kaag,American Philosophy: A Love Story,"Philosopher John Kaag hits the sweet spot between intellectual history and personal memoir in this chronicle of how a neglected library of philosophical treasures hidden deep in the New Hampshire woods rescued him from despair. When Harvard philosophy professor William Ernest Hocking died in 1966, he left a library that had become the repository for the personal libraries of many of his famous colleagues — a collection that included first editions of René Descartes, John Locke and Immanuel Kant, as well as countless volumes bearing their original owners' marginalia. Over the three years Kaag spends excitedly excavating and cataloguing the books, he finds heartening answers to William James' question, ""Is life worth living?"" — and a soulmate with whom to share his discoveries.","[biography-and-memoir, book-club-ideas, love-stories, nonfiction, seriously-great-writing]",0374154481,9780374154486
Kiersten White,And I Darken,"Kiersten White's <em>And I Darken</em> is an evocative imagining of the life of two noble children who are handed over to the Ottoman Empire to ensure that their father, the Prince of Wallachia, will be on his best behavior. What begins as resentful imprisonment soon becomes a source of internal and external conflict for siblings Lada and Radu, as they're torn between hanging on to their past identities and assimilating into the empire that they ought to despise.  This book takes no prisoners, offering up brutal, emotional historical fiction in a seldom explored setting.","[family-matters, historical-fiction, tales-from-around-the-world, the-dark-side, young-adult]",0553522310,9780553522310
Jacqueline Woodson,Another Brooklyn: A Novel,"Jacqueline Woodson says <em>Another Brooklyn</em> came to her in a <a href=""https:// http://www.npr.org/templates/transcript/transcript.php?storyId=489341628"" target=""_blank"">""kind of dreamlike series of vignettes.""</a> And that is just how this slender novel unfolds. It's the story of a girl named August who moves to Brooklyn from Tennessee after the death of her mother. Peering out the window of the apartment she now shares with her father and brother, August sees the three girls who will become her best friends, guiding her through this new world and into adolescence. Adult August narrates the book, and we know from the start that the friends have betrayed one another. But we only learn how, why and to what effect as August's memories return to haunt her. Woodson perfectly captures the elusive feel of memory in prose that often reads like poetry.","[staff-picks, family-matters, identity-and-culture, rather-short, realistic-fiction, seriously-great-writing]",0062359983,9780062359988
"Anthony Bourdain, with Laurie Woolever",Appetites: A Cookbook,"What does a famous, world-traveling chef eat when he's back home? In his first cookbook in more than a decade, Anthony Bourdain — who travels the globe eating food that's not for the faint of heart — shares go-to crowd-pleasers for family and friends. Here you'll find sandwiches, salads, biscuits, mac and cheese and other dishes that would please his 9-year-old daughter. But <em>Appetites</em> isn't all warm and fuzzy. The photos in the book are as disturbing as they are beautiful, and Bourdain offers an abundance of no-nonsense advice, complete with honesty and F-bombs.","[staff-picks, cookbooks-and-food, family-matters]",0062409956,9780062409959
"Taraji P. Henson, with Denene Millner",Around The Way Girl: A Memoir,"Turns out, the details of Taraji Penda Henson's climb to fame could have been used as a script for one of her own movies. The <em>Empire</em> star was born in Washington, D.C., raised by a single mom and cheered on by a dad who struggled with alcoholism and his own impulsive behavior. Henson left the love of her life when he hit her, raising their son as a single mom. She earned far less than her white co-stars on movies like <em>The Curious Case of Benjamin Button</em>. More a story of empowerment and persistence than a Hollywood tell-all, this book unfolds like a story told by Cookie Lyons' talented thespian sister; a down-to-earth, around the way girl explaining to contributor Denene Millner how a sister who graduated from Howard and worked as a secretary for the Pentagon became one of TV's hottest performers.","[staff-picks, biography-and-memoir, book-club-ideas, family-matters, funny-stuff, identity-and-culture, ladies-first, nonfiction]",1501125990,9781501125997
Larry Watson,As Good As Gone: A Novel,"I love stories about family dysfunctions as much as the next person, because who can't relate, right? There's plenty of that in Larry Watson's latest novel, about a man who abandons his own kids, but is called into service decades later as a grandfather. His son and daughter-in-law must drive 500 miles across Montana for an operation — and his job is to look after the grandkids. At first glance, the characters may seem like simple 1950s and '60s stereotypes, but their pasts reveal more complex storylines. As someone who grew up in the area, I also got a kick out of Watson's depiction of Missoula, Mont., which, with its stately, tree-lined neighborhoods, was the envy of so many people who hailed from much harsher, rugged corners of Big Sky Country.","[staff-picks, book-club-ideas, family-matters, realistic-fiction]",1616205717,9781616205713
Annie Proulx,Barkskins: A Novel,"This book makes casual reference to eating veal broth and the honor killing of moose, as a prerequisite to marriage. OK, so Annie Proulx had me at veal broth, and I stayed for the moose in this epic, sprawling tale. Two indentured woodsmen arrive in ""New France"" (now Canada) and take divergent paths — one establishes a timber empire, the other marries a Mi'kmaw woman. <em>Barkskins</em> follows the descendants of these men over centuries, chronicling the march of Manifest Destiny, deforestation, progress, destruction, hope and greed. I kept saying, ""I'm never going to finish this"" 700-page epic, yet, in the end, I couldn't put it down.","[staff-picks, book-club-ideas, family-matters, for-history-lovers, rather-long, realistic-fiction]",0743288785,9780743288781
Noah Hawley,Before The Fall,"This is not a book to read if you are a nervous flier. It begins with a plane crash off Martha's Vineyard (though in a small, private jet). From there, though, you'll be engrossed even at 35,000 feet as the layers of this mystery are peeled away and each chapter about the final days before the crash is told from a different passenger's point of view. There's a media mogul, a starving artist, a young boy; they deal with celebrity, tragedy and absurdity. Author Noah Hawley created the TV show <em>Fargo</em>. Dude knows how to tell a story.","[staff-picks, mysteries-and-thrillers, the-dark-side]",1455561789,9781455561780
Six de los Reyes,Beginner's Guide: Love And Other Chemical Reactions,"Kaya Rubio is focused on her research in molecular biology and doesn't have time for anything else — until her overwhelming and loving family nudges her one time too many about being single. She devises a scientific methodology to find an ideal match in time for a family wedding, including selecting a negative control: Nero, owner of a local cafe, because he is the most unsuitable match she can think of. Of course, plans like that never work out as intended, and seeing Kaya's brilliant mind try to sift scientific analysis out of emotional complication is the best part of this experiment.","[its-all-geek-to-me, ladies-first, love-stories, science, tales-from-around-the-world]",B01DXMYPUM,
Imbolo Mbue,Behold The Dreamers: A Novel,"Imbolo Mbue's debut novel begins like any story about the American dream; a young, Cameroonian couple move to New York to find a better life for themselves and their son. Here's where it departs: It's the fall of 2007 and the U.S. economy is on the verge of collapse. Jende works as a personal chauffeur for a Lehman Brothers executive and the ensuing bankruptcy will strain his family and his marriage. I'm not sure any of these bright and lost and careful characters find the lives they're looking for in this book, but Mbue shares a version of the American dream that feels captivating and real.","[staff-picks, book-club-ideas, family-matters, identity-and-culture, realistic-fiction]",0812998480,9780812998481
Sil Lai Abrams,Black Lotus: A Woman's Search For Racial Identity,"In a time when racial issues and identity politics are widely discussed, it's hard to imagine growing up with your biological background hidden from you. But that's what happened to Sil Lai Abrams, who, until she was 14, was told that her brown skin and curly hair were the result of being born in Hawaii. Abrams' journey to the truth — that the man she knew as her father was not her biological father — makes for illuminating, thought-provoking reading.","[staff-picks, biography-and-memoir, book-club-ideas, family-matters, identity-and-culture, nonfiction]",1451688466,9781451688467
"Ta-Nehisi Coates, illustrated by Brian Stelfreeze",Black Panther: A Nation Under Our Feet,"Fifty years after the birth of mainstream comics' first black superhero, MacArthur ""genius grant"" recipient Ta-Nehisi Coates offers a rich take on this formidable character and his world. King T'Challa leads the mythical, technologically advanced African kingdom of Wakanda, a nation that hasn't been scarred by colonial rule. In a story inspired by a Pulitzer Prize-winning history book, Coates questions whether it is ever possible for a truly good man to be a king. Brian Stelfreeze's art is nicely balanced between thickly shaded, satiny surfaces and the best comic book smash-and-flash.","[comics-and-graphic-novels, identity-and-culture, science-fiction-and-fantasy]",1302900536,9781302900533
"Uma Krishnaswami, illustrated by Julianna Swaney",Book Uncle And Me,"What can one child do to make an impact on her community? A lot. In <em>Book Uncle and Me,</em> 9-year-old Yasmin's cherished free lending library is about to be shut down. A voracious reader, she must unite her friends, family and fellow Indian neighbors in a political campaign to keep Book Uncle's library going. Author Uma Krishnaswami tells the story of a girl coming out from behind the pages to speak out and be heard. With delightful Illustrations by Julianna Swaney, this is a celebration of ingenuity and the power of words. (For ages 7 to 10)","[kids-books, tales-from-around-the-world]",155498808X,9781554988082
Mishell Baker,Borderline,"If Millicent Roper only had to deal with being a bisexual woman living with two prosthetic legs and borderline personality disorder while trying to get her life back on track after her suicide attempt derailed a promising film career, that would be plenty — but also there are fairies. Millie gets recruited to the Arcadia Project, a community of people in Los Angeles tasked with policing the borders between human and fairy worlds, and when a famous fairy noble goes missing, it's up to Millie and the people who aren't quite her friends to figure out what's going on. Shrewd, sharp and full of fiercely graceful writing, this is somewhere between urban fantasy and ballet.","[ladies-first, science-fiction-and-fantasy]",1481429787,9781481429788
Trevor Noah,Born A Crime: Stories From A South African Childhood,"This memoir isn't the funny book you'd think a funny man would write. Nor do you read it just for the rags to riches journey, though what a journey — from a South African township to <em>The Daily Show</em> host chair. You read it for the remarkable perspective of someone born between categories: a biracial kid spit out into an apartheid regime in which marriage between whites and blacks was illegal and his existence a crime. When you go back to watching <em>The Daily Show,</em> the jokes sound better.","[staff-picks, biography-and-memoir, book-club-ideas, eye-opening-reads, family-matters, funny-stuff, identity-and-culture, nonfiction, tales-from-around-the-world]",0399588175,9780399588174
Bruce Springsteen,Born To Run,"Self-written rock star biographies often hit two potholes: They're not particularly insightful and they're not particularly well-written. Thankfully, rock 'n' roll wise man Bruce Springsteen leaps past both obstacles with a bracing story that reads like extra stanzas to epic songs like ""Jungleland"" or, yes, ""Born to Run."" Springsteen dishes on the father who struggled with mental illness and never really understood him, how he sidestepped early efforts to present him as the new Bob Dylan and how a rock superstar hailed by millions as The Boss could endure his own struggles with depression. There might be a bit too much detail about '70s-era rock joints in New Jersey for casual fans, but this book sets the record straight on everything from the despair of his failed first marriage to fights over money with members of the E Street Band. And there's a little bit in here about rock 'n' roll inspiration, too.","[staff-picks, biography-and-memoir, for-music-lovers, nonfiction, rather-long]",1501141511,9781501141515
Jonathan Abrams,Boys Among Men: How The Prep-To-Pro Generation Redefined The NBA And Sparked A Basketball Revolution,"Award-winning basketball writer Jonathan Abrams takes a deep dive into the lives and careers of a special group of basketball prodigies in his book <em>Boys Among Men</em>. Centered on players who made the leap into the NBA straight from high school between 1995 and 2005, Abrams' fine-tuned prose and analysis ignite every page. From illuminating anecdotes to never-heard-before interviews with some of the NBA's most elite athletes, this is a smart and fresh account that fans and casual fans alike will enjoy.","[eye-opening-reads, nonfiction]",0804139253,9780804139250
Alex Abramovich,Bullies: A Friendship,"Ever wonder what would happen if you reconnected with your childhood bully? Writer Alex Abramovich finds out when he gets back in touch with Trevor Latham, his own tormentor, who grew up to become president of Oakland's East Bay Rats Motorcycle Club. This memoir of an unlikely friendship condenses a lot into its 224 pages: It's an anthropological look at motorcycle gangs. It's a well-researched dive into Oakland's rich history. It's a thoughtful exploration of the nature of memory — and a hard look at the question of why men fight.","[staff-picks, biography-and-memoir, eye-opening-reads, nonfiction, the-dark-side]",0805094288,9780805094282
Meg Medina,Burn Baby Burn,"If you, like many in this post-<em>Serial</em> age, have finally discovered the charms of a good true crime story, then this YA thriller will be a treat. It's set in 1977 New York during the Son of Sam killing spree, which author Meg Medina (herself a Queens native) also lived through. The book follows 17-year-old Nora Lopez as she watches <em>Carrie</em> for the first time and worries that kissing her co-worker will bring her to the serial killer's attention. It's a fictional story, but Medina fills it with so many telling details that you are entirely transported. Nora's experiences feel real and immediate, and they will keep you up turning pages late into the night.","[family-matters, for-history-lovers, historical-fiction, identity-and-culture, ladies-first, mysteries-and-thrillers, the-dark-side, young-adult]",0763674672,9780763674670
Steven Price,By Gaslight: A Novel,"Readers may approach a doorstop novel of some 700-plus pages with a mixture of hope and dread, but Steven Price's <em>By Gaslight</em> proves engrossing enough to warrant its forest-depleting bulk. This historical crime drama stars William Pinkerton, whose father founded the famous Pinkerton detective agency. William is something of a brute with heart; he possesses the essential noir detective traits of world weariness, barely controlled machismo and an aching, underlying sensitivity. Set primarily in Victorian London with side trips to the American Civil War and to the diamond mines of South America, <em>By Gaslight</em> is threaded through with a melancholy brilliance.","[historical-fiction, mysteries-and-thrillers, rather-long, the-dark-side]",0374160538,9780374160531
Peter Behrens,Carry Me: A Novel,"Great historical novels give us a god's omnipotence. They don't coddle but burden us with the sure knowledge that we can do nothing to alter the flow of time. And this is the inherent tragedy that lives at the heart of <em>Carry Me,</em> which follows the fortunes of two intermingled families through one of the most turbulent times in modern history — England, Ireland and Germany in the first half of the 20th century. We can read words like ""Blitz"" and ""zeppelin"" and ""Nazi"" echoing in our heads, and we know that there's nothing we can do but watch and wait for the bad things to come.","[family-matters, for-history-lovers, historical-fiction, love-stories, tales-from-around-the-world]",1101870494,9781101870495
Lavie Tidhar,Central Station,"If you read only one science-fiction book this year about a spaceport in the middle of embattled Tel Aviv, it should be this one. If you read only one book about the religion of robots, the evolution of the Internet, magical children and data vampires, <em>Central Station</em> has to be it. The stories will gut you. The language will make you wonder why you even bother speaking English. It is one of the most beautiful books of the year, absolutely the most grab-you-by-the-heart engaging, and so, so smart that Lavie Tidhar can scatter a hundred brilliant ideas like pennies on the ground — like he has so many of them in his pockets that he can just throw them away, leaving them for anyone to pick up.","[science-fiction-and-fantasy, seriously-great-writing, tales-from-around-the-world]",1616962143,9781616962142
Silvia Garcia-Moreno,Certain Dark Things,"In Mexico, local drug-dealing vampire gangs that trace their lineage back to the Aztecs clash with European newcomers — everywhere but Mexico City, where human gangs have declared a vampire-free zone. Living on the margins of this world is Domingo, a 17-year-old garbage collector with a heart of gold, whose vampire comics don't prepare him for the real thing. When he meets Atl, a vampire woman being hunted by a rival gang, he gets swept up in a whirlwind of blood debts and danger. Fast-paced and full of gorgeous characters, this is urban fantasy with emphasis on the urban: Mexico City is as much a character as the vampires.","[science-fiction-and-fantasy, tales-from-around-the-world, the-dark-side]",1250099080,9781250099082
Antonio Garcia Martinez,Chaos Monkeys: Obscene Fortune And Random Failure In Silicon Valley,"Antonio Garcia Martinez, author of <em>Chaos Monkeys,</em> reads like a despicable human being: a misogynistic Silicon Valley elitist who lives on a sailboat, neglects his kids and embraces the tech culture he claims to reject. But (and this is the tricky part), he also reads like a philosopher and historian, the <em>exact</em> travel guide you'd want to walk you through the inner workings of Facebook. His tell-all memoir is the best writing out there on one of the world's most powerful companies. And he even manages to make the ins and outs of online advertising fascinating.","[staff-picks, biography-and-memoir, eye-opening-reads, its-all-geek-to-me, nonfiction, rather-long, the-dark-side]",0062458191,9780062458193
Walter Mosley,Charcoal Joe: An Easy Rawlins Mystery,"I've been reading the Easy Rawlins series for so long, the character is like an old friend now. In this latest installment, Walter Mosley manages once again to make you care about this complicated and richly fleshed out character. He's on one hand a killer – but only when necessary and always reluctantly – while on the other a loving and protective dad, loyal friend and brokenhearted lover. And if none of that floats your boat, Easy solves mysteries too.","[staff-picks, mysteries-and-thrillers]",0385539207,9780385539203
Ben Katchor,Cheap Novelties: The Pleasures Of Urban Decay,"Ben Katchor's comic strips, published in various alt-weeklies as <em>Julius Knipl, Real Estate Photographer,</em> serve as both a serialized love letter to, and a deadpan satire of, a kind of urban experience that has faded from the world. Katchor produces a series of vignettes about tiny, out-of-the-way and vaguely impossible corners of a vanished New York City, and makes sure we feel a subtle magic simmering behind every grimy storefront and tenement fire escape. Originally published in 1991, this deluxe 25th anniversary edition has been reformatted by Katchor, and the result retains the artist's characteristically elliptical, allusive charm.","[book-club-ideas, comics-and-graphic-novels, for-art-lovers, for-history-lovers, funny-stuff]",1770462635,9781770462632
Alexander Weinstein,Children Of The New World: Stories,"Alexander Weinstein's assured and astonishing debut fiction collection, which explores how technology is changing humanity in tiny, specific and irrevocable ways, invites comparisons to the Netflix show <em>Black Mirror</em>. But where that series offers cautionary tales steeped in mordant cynicism, Weinstein's take is warm and achingly, plaintively funny. This is speculative fiction that privileges language and emotion over didactic moral lessons or tedious technical detail, and it's my favorite book of the year.","[book-club-ideas, poetry, science-fiction-and-fantasy, seriously-great-writing]",1250098998,9781250098993
Yasmine El Rashidi,Chronicle Of A Last Summer: A Novel Of Egypt,"Today, stories about Egypt often conjure up images of Tahrir Square protests and political unrest, but so much of Yasmine El Rashidi's novel — which documents three summers (1984, 1998 and 2014) in the life of a young Egyptian woman — is about silence. When the book's unnamed narrator asks, as a child, where her father has gone, no one will say. (He was forced to flee the government.) And later, when he returns, no one tells her why her parents are no longer living together. El Rashidi's story explores how one can be a participant <em>and</em> an observer of political change, and how so much of our politics are formed by the things we don't say in public and the questions we are afraid to ask.","[eye-opening-reads, family-matters, historical-fiction, identity-and-culture, rather-short, tales-from-around-the-world]",077043729X,9780770437299
Ann Patchett,Commonwealth,"<em>Commonwealth</em> isn't as soaring or as lush as Ann Patchett's earlier novels, but wow does it ever suck you in. This is a story of families and marriage and love and the unlikely friendship that develops between two sets of children, united in hatred of their parents. Reading it before bed the other night, I found myself laughing even as tears rolled down my cheeks, then gently closing the cover, turning to my husband and whispering, ""This book is so, so good.""","[staff-picks, book-club-ideas, family-matters, realistic-fiction]",0062491792,9780062491794
Eric Fair,Consequence: A Memoir,"Eric Fair is a goody-two-shoes. A Presbyterian church geek from a moribund Pennsylvania steel town, he believed a career in law enforcement would be an opportunity to minister to those who needed it most. So how did he end up torturing Iraqi detainees in Abu Ghraib? This wrenching — and deeply moving — memoir provides a powerful reminder of how brutal circumstances can lead to an unexpected capacity for cruelty. It's also a chance to confront our collective national shame. <em>Consequence</em> is one of those books that should be required reading for all Americans.","[staff-picks, biography-and-memoir, eye-opening-reads, nonfiction, the-dark-side]",1627795138,9781627795135
Robin Ha,Cook Korean! A Comic Book With Recipes,"Korean cookbooks are everywhere right now, but this one's different. Author Robin Ha is an artist and graphic novelist, and every page features a variety of ingredients having a rollicking, boisterous party on the page. There's a smiling daikon, a winking squid and even bland tofu that seems to be enjoying itself. Though each recipe relies on more or less the usual suspects — soy, sesame oil, chili paste, scallions, ginger — each has a distinct character, whether it's  japchae, soy spinach and bean sprout salad, pajeon or galbi.  Ha's protagonist (or alter ego) is a smiling young cook in traditional Korean silk formalwear with a ribbon in her hair.  She's a whiz with a cleaver — and she has excellent handwriting.","[comics-and-graphic-novels, cookbooks-and-food, tales-from-around-the-world]",1607748878,9781607748878
